,event_date,event_time_cst,home_id,away_id,venue_id
0,09/08/2023,07:20 PM,32,39,31
1,09/10/2023,12:00 PM,50,34,49
2,09/10/2023,12:00 PM,49,54,48
3,09/10/2023,12:00 PM,38,55,37
4,09/10/2023,12:00 PM,47,61,46
5,09/10/2023,12:00 PM,62,56,59
6,09/10/2023,12:00 PM,35,53,34
7,09/10/2023,12:00 PM,42,45,41
8,09/10/2023,12:00 PM,37,60,36
9,09/10/2023,03:25 PM,59,44,56
10,09/10/2023,03:25 PM,36,31,35
11,09/10/2023,03:25 PM,58,41,55
12,09/10/2023,03:25 PM,40,46,39
13,09/10/2023,03:25 PM,48,57,47
14,09/11/2023,07:20 PM,51,33,50
15,09/12/2023,07:15 PM,52,43,50
16,09/15/2023,07:15 PM,46,62,45
17,09/17/2023,12:00 PM,50,44,49
18,09/17/2023,12:00 PM,43,31,42
19,09/17/2023,12:00 PM,55,49,53
20,09/17/2023,12:00 PM,39,48,38
21,09/17/2023,12:00 PM,54,47,52
22,09/17/2023,12:00 PM,61,32,58
23,09/17/2023,12:00 PM,56,59,54
24,09/17/2023,12:00 PM,53,58,51
25,09/17/2023,03:05 PM,60,51,57
26,09/17/2023,03:05 PM,57,45,55
27,09/17/2023,03:25 PM,33,52,32
28,09/17/2023,03:25 PM,36,37,35
29,09/18/2023,07:20 PM,40,41,39
30,09/18/2023,06:15 PM,34,35,33
31,09/19/2023,07:15 PM,42,38,41
32,09/22/2023,07:15 PM,45,51,44
33,09/24/2023,12:00 PM,49,47,48
34,09/24/2023,12:00 PM,38,53,37
35,09/24/2023,12:00 PM,39,50,38
36,09/24/2023,12:00 PM,44,35,43
37,09/24/2023,12:00 PM,61,54,58
38,09/24/2023,12:00 PM,41,36,40
39,09/24/2023,12:00 PM,62,58,59
40,09/24/2023,12:00 PM,52,40,50
41,09/24/2023,12:00 PM,37,43,36
42,09/24/2023,03:05 PM,48,34,47
43,09/24/2023,03:25 PM,60,33,57
44,09/24/2023,03:25 PM,32,59,31
45,09/25/2023,07:20 PM,31,42,30
46,09/25/2023,06:15 PM,56,46,54
47,09/26/2023,07:15 PM,55,57,53
48,09/29/2023,07:15 PM,44,39,43
49,10/01/2023,08:30 AM,61,50,58
50,10/01/2023,12:00 PM,43,41,42
51,10/01/2023,12:00 PM,34,62,33
52,10/01/2023,12:00 PM,59,36,56
53,10/01/2023,12:00 PM,38,49,37
54,10/01/2023,12:00 PM,54,42,52
55,10/01/2023,12:00 PM,47,57,46
56,10/01/2023,12:00 PM,35,56,34
57,10/01/2023,12:00 PM,46,37,45
58,10/01/2023,12:00 PM,53,55,51
59,10/01/2023,03:05 PM,58,31,55
60,10/01/2023,03:25 PM,33,40,32
61,10/01/2023,03:25 PM,45,60,44
62,10/02/2023,07:20 PM,52,32,50
63,10/03/2023,07:15 PM,51,48,50
64,10/06/2023,07:15 PM,37,59,36
65,10/08/2023,08:30 AM,43,61,42
66,10/08/2023,12:00 PM,50,54,49
67,10/08/2023,12:00 PM,39,34,38
68,10/08/2023,12:00 PM,47,53,46
69,10/08/2023,12:00 PM,41,51,40
70,10/08/2023,12:00 PM,40,35,39
71,10/08/2023,12:00 PM,42,49,41
72,10/08/2023,03:05 PM,60,55,57
73,10/08/2023,03:05 PM,57,46,55
74,10/08/2023,03:25 PM,36,52,35
75,10/08/2023,03:25 PM,62,32,59
76,10/09/2023,07:20 PM,45,33,44
77,10/10/2023,07:15 PM,31,44,30
78,10/13/2023,07:15 PM,32,36,31
79,10/15/2023,08:30 AM,53,49,51
80,10/15/2023,12:00 PM,50,37,49
81,10/15/2023,12:00 PM,59,62,56
82,10/15/2023,12:00 PM,55,48,53
83,10/15/2023,12:00 PM,38,45,37
84,10/15/2023,12:00 PM,54,35,52
85,10/15/2023,12:00 PM,61,47,58
86,10/15/2023,12:00 PM,41,34,40
87,10/15/2023,12:00 PM,56,39,54
88,10/15/2023,03:05 PM,31,40,30
89,10/15/2023,03:25 PM,57,60,55
90,10/15/2023,03:25 PM,52,46,50
91,10/16/2023,07:20 PM,43,51,42
92,10/17/2023,07:15 PM,58,33,55
93,10/20/2023,07:15 PM,35,61,34
94,10/22/2023,12:00 PM,49,39,48
95,10/22/2023,12:00 PM,59,31,56
96,10/22/2023,12:00 PM,47,38,46
97,10/22/2023,12:00 PM,40,43,39
98,10/22/2023,12:00 PM,51,37,50
99,10/22/2023,12:00 PM,56,50,54
100,10/22/2023,03:05 PM,57,42,55
101,10/22/2023,03:05 PM,48,60,47
102,10/22/2023,03:25 PM,36,44,35
103,10/22/2023,03:25 PM,32,58,31
104,10/23/2023,07:20 PM,46,41,45
105,10/24/2023,07:15 PM,62,45,59
106,10/27/2023,07:15 PM,43,56,42
107,10/29/2023,12:00 PM,34,54,33
108,10/29/2023,12:00 PM,33,57,32
109,10/29/2023,12:00 PM,44,62,43
110,10/29/2023,12:00 PM,47,35,46
111,10/29/2023,12:00 PM,41,40,40
112,10/29/2023,12:00 PM,51,52,50
113,10/29/2023,12:00 PM,42,61,41
114,10/29/2023,12:00 PM,53,50,51
115,10/29/2023,12:00 PM,37,46,36
116,10/29/2023,03:05 PM,48,38,47
117,10/29/2023,03:25 PM,60,49,57
118,10/29/2023,03:25 PM,36,32,35
119,10/29/2023,03:25 PM,45,55,44
120,10/30/2023,07:20 PM,58,59,55
121,10/31/2023,07:15 PM,39,31,38
122,11/03/2023,07:15 PM,42,53,41
123,11/05/2023,09:30 AM,32,41,31
124,11/05/2023,01:00 PM,50,62,49
125,11/05/2023,01:00 PM,49,48,48
126,11/05/2023,01:00 PM,38,60,37
127,11/05/2023,01:00 PM,44,57,43
128,11/05/2023,01:00 PM,54,56,52
129,11/05/2023,01:00 PM,40,37,39
130,11/05/2023,01:00 PM,35,59,34
