,event_date,event_time_cst,home_id,away_id,venue_id
126,10/29/2023,04:00 PM,83,94,74
127,10/29/2023,04:00 PM,70,86,6
128,10/29/2023,06:00 PM,85,88,76
129,10/30/2023,06:00 PM,89,74,25
130,10/30/2023,06:00 PM,93,81,29
131,10/30/2023,06:00 PM,82,76,73
132,10/30/2023,06:00 PM,63,71,60
133,10/30/2023,06:30 PM,68,79,63
134,10/30/2023,06:30 PM,91,78,80
135,10/31/2023,07:00 PM,64,80,1
136,10/31/2023,09:00 PM,75,92,68
137,10/31/2023,09:00 PM,90,66,79
138,11/01/2023,07:00 PM,87,72,20
139,11/01/2023,09:00 PM,84,67,75
140,11/01/2023,06:00 PM,93,77,29
141,11/02/2023,07:30 PM,88,64,78
142,11/02/2023,08:30 PM,65,73,4
143,11/02/2023,09:00 PM,76,75,69
144,11/02/2023,06:00 PM,89,87,25
145,11/02/2023,06:00 PM,80,63,71
146,11/02/2023,06:00 PM,78,74,15
147,11/02/2023,06:00 PM,79,81,16
148,11/02/2023,06:00 PM,69,72,64
149,11/02/2023,06:00 PM,70,91,6
150,11/03/2023,07:00 PM,94,83,81
151,11/03/2023,08:00 PM,85,64,76
152,11/03/2023,09:00 PM,75,66,68
153,11/03/2023,09:00 PM,71,67,65
154,11/03/2023,09:00 PM,90,68,79
155,11/03/2023,09:30 PM,86,84,77
156,11/03/2023,06:00 PM,77,93,70
157,11/04/2023,07:00 PM,73,83,66
158,11/04/2023,02:00 PM,85,67,76
159,11/04/2023,03:00 PM,75,68,68
160,11/04/2023,06:00 PM,73,66,66
161,11/04/2023,06:00 PM,78,89,15
162,11/04/2023,06:00 PM,69,63,64
163,11/04/2023,06:00 PM,93,72,29
164,11/04/2023,06:00 PM,87,77,20
165,11/04/2023,06:00 PM,70,80,6
166,11/04/2023,06:30 PM,91,81,80
167,11/05/2023,07:00 PM,92,74,27
168,11/05/2023,07:00 PM,94,79,81
169,11/05/2023,09:00 PM,71,88,65
170,11/05/2023,09:00 PM,86,82,77
171,11/05/2023,09:00 PM,84,64,75
172,11/05/2023,09:00 PM,90,65,79
173,11/06/2023,07:00 PM,92,83,27
174,11/06/2023,08:00 PM,76,90,69
175,11/07/2023,07:00 PM,74,80,67
176,11/07/2023,07:00 PM,87,63,20
177,11/07/2023,08:00 PM,64,89,1
178,11/07/2023,10:00 PM,84,85,75
179,11/08/2023,07:00 PM,81,77,72
180,11/08/2023,07:00 PM,66,63,61
181,11/08/2023,07:30 PM,91,94,80
182,11/08/2023,07:30 PM,79,78,16
183,11/08/2023,08:00 PM,73,68,66
184,11/08/2023,09:00 PM,75,71,68
185,11/08/2023,09:00 PM,88,67,78
186,11/08/2023,10:00 PM,76,82,69
187,11/08/2023,10:00 PM,65,83,4
188,11/08/2023,10:30 PM,86,93,77
189,11/09/2023,07:00 PM,87,69,20
190,11/09/2023,07:30 PM,70,74,6
191,11/09/2023,10:00 PM,90,72,79
192,11/10/2023,07:00 PM,89,91,25
193,11/10/2023,07:00 PM,80,64,71
194,11/10/2023,07:00 PM,78,66,15
195,11/10/2023,07:00 PM,79,94,16
196,11/10/2023,07:00 PM,69,84,64
197,11/10/2023,07:00 PM,63,92,60
198,11/10/2023,08:00 PM,73,75,66
199,11/10/2023,08:00 PM,68,67,63
200,11/10/2023,09:00 PM,65,71,4
201,11/10/2023,10:30 PM,72,82,8
202,11/10/2023,10:30 PM,86,85,77
203,11/11/2023,07:00 PM,77,94,70
204,11/11/2023,07:00 PM,74,81,67
205,11/11/2023,07:00 PM,83,70,74
206,11/11/2023,07:00 PM,87,88,20
207,11/11/2023,10:00 PM,76,93,69
208,11/11/2023,10:00 PM,90,86,79
209,11/11/2023,01:00 PM,78,80,15
210,11/11/2023,04:00 PM,68,64,63
211,11/12/2023,07:00 PM,66,89,61
212,11/12/2023,07:00 PM,69,88,64
213,11/12/2023,07:00 PM,63,81,60
214,11/12/2023,07:00 PM,87,84,20
215,11/12/2023,07:30 PM,91,70,80
216,11/12/2023,07:30 PM,82,77,73
217,11/12/2023,08:00 PM,67,75,62
218,11/12/2023,09:00 PM,65,73,4
219,11/12/2023,10:00 PM,71,85,65
220,11/12/2023,10:30 PM,72,93,8
221,11/12/2023,01:00 PM,74,92,67
222,11/12/2023,06:00 PM,94,64,81
223,11/13/2023,07:00 PM,66,84,61
224,11/13/2023,07:00 PM,79,80,16
225,11/13/2023,08:00 PM,76,86,69
226,11/14/2023,08:30 PM,85,91,76
227,11/14/2023,10:00 PM,71,65,65
228,11/15/2023,07:00 PM,77,89,70
229,11/15/2023,07:00 PM,80,82,71
230,11/15/2023,07:00 PM,66,88,61
