,event_date,event_time_cst,home_id,away_id,venue_id
0,03/30/2023,12:05 PM,111,122,98
1,03/30/2023,12:05 PM,124,113,111
2,03/30/2023,01:10 PM,104,114,91
3,03/30/2023,01:20 PM,123,95,110
4,03/30/2023,02:10 PM,121,101,108
5,03/30/2023,03:05 PM,105,100,92
6,03/30/2023,03:10 PM,106,116,93
7,03/30/2023,03:10 PM,97,118,84
8,03/30/2023,03:10 PM,108,120,95
9,03/30/2023,03:10 PM,109,99,96
10,03/30/2023,06:08 PM,110,107,97
11,03/31/2023,08:40 PM,115,102,102
12,03/31/2023,09:07 PM,112,96,99
13,03/31/2023,09:10 PM,103,98,90
14,03/31/2023,09:10 PM,119,117,106
15,03/31/2023,05:40 PM,109,99,96
16,04/01/2023,07:10 PM,110,107,97
17,04/01/2023,08:40 PM,115,102,102
18,04/01/2023,09:10 PM,103,98,90
19,04/01/2023,09:10 PM,119,117,106
20,04/01/2023,01:10 PM,110,107,97
21,04/01/2023,01:15 PM,97,118,84
22,04/01/2023,01:20 PM,123,95,110
23,04/01/2023,03:05 PM,105,100,92
24,04/01/2023,03:05 PM,111,122,98
25,04/01/2023,03:05 PM,124,113,111
26,04/01/2023,03:07 PM,112,96,99
27,04/01/2023,03:10 PM,104,114,91
28,04/01/2023,03:10 PM,106,116,93
29,04/01/2023,03:10 PM,121,101,108
30,04/01/2023,03:10 PM,108,120,95
31,04/01/2023,03:10 PM,109,99,96
32,04/02/2023,07:40 PM,115,102,102
33,04/02/2023,08:10 PM,103,98,90
34,04/02/2023,08:40 PM,119,117,106
35,04/02/2023,12:10 PM,121,101,108
36,04/02/2023,12:35 PM,104,114,91
37,04/02/2023,12:35 PM,111,122,98
38,04/02/2023,12:35 PM,124,113,111
39,04/02/2023,12:40 PM,106,116,93
40,04/02/2023,12:40 PM,109,99,96
41,04/02/2023,01:10 PM,108,120,95
42,04/02/2023,01:10 PM,110,107,97
43,04/02/2023,01:15 PM,97,118,84
44,04/02/2023,01:20 PM,123,95,110
45,04/02/2023,03:07 PM,112,96,99
46,04/02/2023,03:10 PM,103,98,90
47,04/02/2023,03:10 PM,115,102,102
48,04/02/2023,03:10 PM,119,117,106
49,04/02/2023,06:08 PM,105,100,92
50,04/03/2023,01:10 PM,95,99,82
51,04/03/2023,02:10 PM,107,113,94
52,04/03/2023,05:40 PM,106,123,93
53,04/03/2023,05:40 PM,109,120,96
54,04/03/2023,06:05 PM,111,121,98
55,04/03/2023,06:05 PM,124,100,111
56,04/03/2023,06:10 PM,104,116,91
57,04/03/2023,06:40 PM,108,118,95
