Match Number,Round Number,Date,Location,Home Team,Away Team,Result
58,1,03/04/2023 23:40,Kauffman Stadium,Kansas City Royals,Toronto Blue Jays,9 - 5
59,1,03/04/2023 23:45,Busch Stadium,St. Louis Cardinals,Atlanta Braves,4 - 8
60,1,04/04/2023 00:05,Globe Life Field,Texas Rangers,Baltimore Orioles,0 - 2
61,1,04/04/2023 00:10,Minute Maid Park,Houston Astros,Detroit Tigers,6 - 7
62,1,04/04/2023 01:40,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,11 - 12
63,1,04/04/2023 01:40,Petco Park,San Diego Padres,Arizona Diamondbacks,5 - 4
64,1,04/04/2023 01:40,T-Mobile Park,Seattle Mariners,Los Angeles Angels,3 - 7
65,1,04/04/2023 02:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,13 - 4
66,1,04/04/2023 20:10,Petco Park,San Diego Padres,Arizona Diamondbacks,6 - 8
67,1,04/04/2023 22:40,Great American Ball Park,Cincinnati Reds,Chicago Cubs,5 - 12
68,1,04/04/2023 22:40,loanDepot park,Miami Marlins,Minnesota Twins,1 - 0
69,1,04/04/2023 23:05,Nationals Park,Washington Nationals,Tampa Bay Rays,6 - 10
70,1,04/04/2023 23:05,Yankee Stadium,New York Yankees,Philadelphia Phillies,1 - 4
71,1,04/04/2023 23:10,Fenway Park,Boston Red Sox,Pittsburgh Pirates,1 - 4
72,1,04/04/2023 23:40,Kauffman Stadium,Kansas City Royals,Toronto Blue Jays,1 - 4
73,1,04/04/2023 23:40,American Family Field,Milwaukee Brewers,New York Mets,9 - 0
74,1,04/04/2023 23:45,Busch Stadium,St. Louis Cardinals,Atlanta Braves,1 - 4
75,1,05/04/2023 00:05,Globe Life Field,Texas Rangers,Baltimore Orioles,2 - 7
76,1,05/04/2023 00:10,Minute Maid Park,Houston Astros,Detroit Tigers,3 - 6
77,1,05/04/2023 01:40,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,4 - 3
78,1,05/04/2023 01:40,T-Mobile Park,Seattle Mariners,Los Angeles Angels,11 - 2
79,1,05/04/2023 02:10,Dodger Stadium,Los Angeles Dodgers,Colorado Rockies,5 - 2
81,2,05/04/2023 17:05,Nationals Park,Washington Nationals,Tampa Bay Rays,2 - 7
82,2,05/04/2023 17:05,Yankee Stadium,New York Yankees,Philadelphia Phillies,4 - 2
83,2,05/04/2023 17:10,loanDepot park,Miami Marlins,Minnesota Twins,5 - 2
84,2,05/04/2023 17:15,Busch Stadium,St. Louis Cardinals,Atlanta Braves,2 - 5
85,2,05/04/2023 17:35,Fenway Park,Boston Red Sox,Pittsburgh Pirates,1 - 4
86,2,05/04/2023 17:40,American Family Field,Milwaukee Brewers,New York Mets,7 - 6
87,2,05/04/2023 18:05,Globe Life Field,Texas Rangers,Baltimore Orioles,5 - 2
88,2,05/04/2023 18:10,Guaranteed Rate Field,Chicago White Sox,San Francisco Giants,7 - 3
92,2,05/04/2023 18:10,Minute Maid Park,Houston Astros,Detroit Tigers,8 - 2
89,2,05/04/2023 19:37,Oakland Coliseum,Oakland Athletics,Cleveland Guardians,4 - 6
90,2,05/04/2023 20:10,T-Mobile Park,Seattle Mariners,Los Angeles Angels,3 - 4
91,2,05/04/2023 23:40,Kauffman Stadium,Kansas City Royals,Toronto Blue Jays,0 - 3
93,2,06/04/2023 17:10,Comerica Park,Detroit Tigers,Boston Red Sox,3 - 6
95,2,06/04/2023 18:10,Kauffman Stadium,Kansas City Royals,Toronto Blue Jays,3 - 6
96,2,06/04/2023 18:10,Guaranteed Rate Field,Chicago White Sox,San Francisco Giants,6 - 16
99,2,06/04/2023 20:10,Coors Field,Colorado Rockies,Washington Nationals,1 - 0
101,2,06/04/2023 23:20,Truist Park,Atlanta Braves,San Diego Padres,7 - 6
102,2,07/04/2023 02:10,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,2 - 5
94,2,07/04/2023 17:10,Citi Field,New York Mets,Miami Marlins,9 - 3
103,2,07/04/2023 18:20,Wrigley Field,Chicago Cubs,Texas Rangers,2 - 0
97,2,07/04/2023 19:05,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,5 - 2
98,2,07/04/2023 19:05,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,7 - 6
100,2,07/04/2023 20:10,Target Field,Minnesota Twins,Houston Astros,3 - 2
104,2,07/04/2023 20:10,Progressive Field,Cleveland Guardians,Seattle Mariners,3 - 5
105,2,07/04/2023 20:12,PNC Park,Pittsburgh Pirates,Chicago White Sox,13 - 9
106,2,07/04/2023 20:35,Oracle Park,San Francisco Giants,Kansas City Royals,1 - 3
107,2,07/04/2023 22:40,Tropicana Field,Tampa Bay Rays,Oakland Athletics,9 - 5
108,2,07/04/2023 23:20,Truist Park,Atlanta Braves,San Diego Padres,4 - 5
109,2,08/04/2023 00:10,American Family Field,Milwaukee Brewers,St. Louis Cardinals,4 - 0
110,2,08/04/2023 00:40,Coors Field,Colorado Rockies,Washington Nationals,5 - 10
111,2,08/04/2023 01:38,Angel Stadium,Los Angeles Angels,Toronto Blue Jays,3 - 4
112,2,08/04/2023 01:40,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,6 - 3
114,2,08/04/2023 18:10,Target Field,Minnesota Twins,Houston Astros,9 - 6
115,2,08/04/2023 20:05,Oracle Park,San Francisco Giants,Kansas City Royals,5 - 6
116,2,08/04/2023 20:05,Wrigley Field,Chicago Cubs,Texas Rangers,10 - 3
117,2,08/04/2023 20:05,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,3 - 2
113,2,08/04/2023 20:10,Comerica Park,Detroit Tigers,Boston Red Sox,5 - 14
118,2,08/04/2023 20:10,Tropicana Field,Tampa Bay Rays,Oakland Athletics,11 - 0
119,2,08/04/2023 20:10,Citi Field,New York Mets,Miami Marlins,5 - 2
120,2,08/04/2023 22:10,Progressive Field,Cleveland Guardians,Seattle Mariners,2 - 3
121,2,08/04/2023 22:35,PNC Park,Pittsburgh Pirates,Chicago White Sox,5 - 11
122,2,08/04/2023 23:05,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,1 - 4
123,2,08/04/2023 23:10,American Family Field,Milwaukee Brewers,St. Louis Cardinals,0 - 6
124,2,08/04/2023 23:20,Truist Park,Atlanta Braves,San Diego Padres,1 - 4
125,2,09/04/2023 00:10,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,12 - 8
126,2,09/04/2023 00:10,Coors Field,Colorado Rockies,Washington Nationals,6 - 7
127,2,09/04/2023 01:07,Angel Stadium,Los Angeles Angels,Toronto Blue Jays,9 - 5
128,2,09/04/2023 17:05,Citizens Bank Park,Philadelphia Phillies,Cincinnati Reds,4 - 6
129,2,09/04/2023 17:10,Comerica Park,Detroit Tigers,Boston Red Sox,1 - 4
130,2,09/04/2023 17:10,Tropicana Field,Tampa Bay Rays,Oakland Athletics,11 - 0
131,2,09/04/2023 17:35,PNC Park,Pittsburgh Pirates,Chicago White Sox,1 - 0
132,2,09/04/2023 17:35,Oriole Park at Camden Yards,Baltimore Orioles,New York Yankees,3 - 5
133,2,09/04/2023 17:40,Progressive Field,Cleveland Guardians,Seattle Mariners,7 - 6
134,2,09/04/2023 17:40,Citi Field,New York Mets,Miami Marlins,2 - 7
135,2,09/04/2023 18:10,Target Field,Minnesota Twins,Houston Astros,1 - 5
136,2,09/04/2023 18:10,American Family Field,Milwaukee Brewers,St. Louis Cardinals,6 - 1
137,2,09/04/2023 18:20,Wrigley Field,Chicago Cubs,Texas Rangers,2 - 8
138,2,09/04/2023 19:10,Coors Field,Colorado Rockies,Washington Nationals,7 - 6
139,2,09/04/2023 20:05,Oracle Park,San Francisco Giants,Kansas City Royals,3 - 1
140,2,09/04/2023 20:07,Angel Stadium,Los Angeles Angels,Toronto Blue Jays,11 - 12
141,2,09/04/2023 20:10,Chase Field,Arizona Diamondbacks,Los Angeles Dodgers,11 - 6
142,2,09/04/2023 23:10,Truist Park,Atlanta Braves,San Diego Padres,2 - 10
143,2,10/04/2023 18:10,Target Field,Minnesota Twins,Chicago White Sox,3 - 4
144,2,10/04/2023 22:10,Progressive Field,Cleveland Guardians,New York Yankees,3 - 2
145,2,10/04/2023 22:35,Oriole Park at Camden Yards,Baltimore Orioles,Oakland Athletics,5 - 1
146,2,10/04/2023 22:35,PNC Park,Pittsburgh Pirates,Houston Astros,2 - 8
147,2,10/04/2023 22:40,Tropicana Field,Tampa Bay Rays,Boston Red Sox,1 - 0
148,2,10/04/2023 22:40,Citizens Bank Park,Philadelphia Phillies,Miami Marlins,15 - 3
149,2,10/04/2023 23:10,Citi Field,New York Mets,San Diego Padres,5 - 0
150,2,10/04/2023 23:20,Truist Park,Atlanta Braves,Cincinnati Reds,5 - 4
151,2,10/04/2023 23:40,Wrigley Field,Chicago Cubs,Seattle Mariners,3 - 2
152,2,11/04/2023 00:05,Globe Life Field,Texas Rangers,Kansas City Royals,11 - 2
153,2,11/04/2023 00:40,Coors Field,Colorado Rockies,St. Louis Cardinals,7 - 4
154,2,11/04/2023 01:38,Angel Stadium,Los Angeles Angels,Washington Nationals,4 - 6
155,2,11/04/2023 01:40,Chase Field,Arizona Diamondbacks,Milwaukee Brewers,3 - 0
156,2,11/04/2023 01:45,Oracle Park,San Francisco Giants,Los Angeles Dodgers,1 - 9
157,2,11/04/2023 22:10,Progressive Field,Cleveland Guardians,New York Yankees,2 - 11
158,2,11/04/2023 22:35,Oriole Park at Camden Yards,Baltimore Orioles,Oakland Athletics,12 - 8
159,2,11/04/2023 22:35,PNC Park,Pittsburgh Pirates,Houston Astros,7 - 4
160,2,11/04/2023 22:40,Tropicana Field,Tampa Bay Rays,Boston Red Sox,7 - 2
161,2,11/04/2023 22:40,Citizens Bank Park,Philadelphia Phillies,Miami Marlins,4 - 8
162,2,11/04/2023 23:07,Rogers Centre,Toronto Blue Jays,Detroit Tigers,9 - 3
163,2,11/04/2023 23:10,Citi Field,New York Mets,San Diego Padres,2 - 4
164,2,11/04/2023 23:20,Truist Park,Atlanta Braves,Cincinnati Reds,7 - 6
165,2,11/04/2023 23:40,Wrigley Field,Chicago Cubs,Seattle Mariners,14 - 9
166,2,11/04/2023 23:40,Target Field,Minnesota Twins,Chicago White Sox,4 - 3
167,2,12/04/2023 00:05,Globe Life Field,Texas Rangers,Kansas City Royals,8 - 5
168,2,12/04/2023 00:40,Coors Field,Colorado Rockies,St. Louis Cardinals,6 - 9
169,2,12/04/2023 01:38,Angel Stadium,Los Angeles Angels,Washington Nationals,2 - 0
170,2,12/04/2023 01:40,Chase Field,Arizona Diamondbacks,Milwaukee Brewers,1 - 7
171,2,12/04/2023 01:45,Oracle Park,San Francisco Giants,Los Angeles Dodgers,5 - 0
172,3,12/04/2023 16:35,PNC Park,Pittsburgh Pirates,Houston Astros,0 - 7
173,3,12/04/2023 17:10,Citi Field,New York Mets,San Diego Padres,5 - 2
174,3,12/04/2023 17:10,Target Field,Minnesota Twins,Chicago White Sox,3 - 1
175,3,12/04/2023 17:10,Progressive Field,Cleveland Guardians,New York Yankees,3 - 4
176,3,12/04/2023 18:20,Wrigley Field,Chicago Cubs,Seattle Mariners,2 - 5
177,3,12/04/2023 19:10,Coors Field,Colorado Rockies,St. Louis Cardinals,4 - 7
178,3,12/04/2023 19:40,Chase Field,Arizona Diamondbacks,Milwaukee Brewers,7 - 3
179,3,12/04/2023 20:05,Citizens Bank Park,Philadelphia Phillies,Miami Marlins,2 - 3
180,3,12/04/2023 20:07,Angel Stadium,Los Angeles Angels,Washington Nationals,3 - 2
181,3,12/04/2023 22:35,Oriole Park at Camden Yards,Baltimore Orioles,Oakland Athletics,4 - 8
182,3,12/04/2023 22:40,Tropicana Field,Tampa Bay Rays,Boston Red Sox,9 - 7
183,3,12/04/2023 23:07,Rogers Centre,Toronto Blue Jays,Detroit Tigers,4 - 3
184,3,12/04/2023 23:20,Truist Park,Atlanta Braves,Cincinnati Reds,5 - 4
185,3,13/04/2023 00:05,Globe Life Field,Texas Rangers,Kansas City Royals,1 - 10
186,3,13/04/2023 01:45,Oracle Park,San Francisco Giants,Los Angeles Dodgers,5 - 10
187,3,13/04/2023 17:05,Oriole Park at Camden Yards,Baltimore Orioles,Oakland Athletics,8 - 7
188,3,13/04/2023 17:10,Tropicana Field,Tampa Bay Rays,Boston Red Sox,9 - 3
189,3,13/04/2023 22:40,Great American Ball Park,Cincinnati Reds,Philadelphia Phillies,6 - 2
190,3,13/04/2023 23:05,Yankee Stadium,New York Yankees,Minnesota Twins,2 - 11
191,3,13/04/2023 23:07,Rogers Centre,Toronto Blue Jays,Detroit Tigers,1 - 3
192,3,13/04/2023 23:45,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,0 - 5
193,3,14/04/2023 01:40,Petco Park,San Diego Padres,Milwaukee Brewers,3 - 4
194,3,14/04/2023 22:40,Comerica Park,Detroit Tigers,San Francisco Giants,7 - 5
195,3,14/04/2023 22:40,Great American Ball Park,Cincinnati Reds,Philadelphia Phillies,3 - 8
196,3,14/04/2023 22:40,loanDepot park,Miami Marlins,Arizona Diamondbacks,5 - 1
197,3,14/04/2023 23:05,Nationals Park,Washington Nationals,Cleveland Guardians,3 - 4
198,3,14/04/2023 23:05,Yankee Stadium,New York Yankees,Minnesota Twins,3 - 4
199,3,14/04/2023 23:07,Rogers Centre,Toronto Blue Jays,Tampa Bay Rays,6 - 3
200,3,14/04/2023 23:10,Fenway Park,Boston Red Sox,Los Angeles Angels,5 - 3
201,3,14/04/2023 23:10,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,3 - 6
202,3,15/04/2023 00:10,Minute Maid Park,Houston Astros,Texas Rangers,2 - 6
203,3,15/04/2023 00:10,Kauffman Stadium,Kansas City Royals,Atlanta Braves,3 - 10
204,3,15/04/2023 00:15,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,3 - 0
205,3,15/04/2023 01:40,Oakland Coliseum,Oakland Athletics,New York Mets,6 - 17
206,3,15/04/2023 01:40,Petco Park,San Diego Padres,Milwaukee Brewers,2 - 11
207,3,15/04/2023 02:10,Dodger Stadium,Los Angeles Dodgers,Chicago Cubs,2 - 8
208,3,15/04/2023 02:10,T-Mobile Park,Seattle Mariners,Colorado Rockies,5 - 3
209,3,15/04/2023 17:05,Yankee Stadium,New York Yankees,Minnesota Twins,6 - 1
210,3,15/04/2023 17:10,Comerica Park,Detroit Tigers,San Francisco Giants,7 - 6
211,3,15/04/2023 18:10,Guaranteed Rate Field,Chicago White Sox,Baltimore Orioles,7 - 6
212,3,15/04/2023 18:15,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,3 - 6
213,3,15/04/2023 19:07,Rogers Centre,Toronto Blue Jays,Tampa Bay Rays,5 - 2
214,3,15/04/2023 20:05,Nationals Park,Washington Nationals,Cleveland Guardians,4 - 6
215,3,15/04/2023 20:05,Petco Park,San Diego Padres,Milwaukee Brewers,10 - 3
216,3,15/04/2023 20:07,Oakland Coliseum,Oakland Athletics,New York Mets,2 - 3
217,3,15/04/2023 20:10,Fenway Park,Boston Red Sox,Los Angeles Angels,9 - 7
218,3,15/04/2023 20:10,Great American Ball Park,Cincinnati Reds,Philadelphia Phillies,13 - 0
219,3,15/04/2023 20:10,Kauffman Stadium,Kansas City Royals,Atlanta Braves,3 - 9
220,3,15/04/2023 20:10,loanDepot park,Miami Marlins,Arizona Diamondbacks,3 - 2
221,3,15/04/2023 23:10,Minute Maid Park,Houston Astros,Texas Rangers,8 - 2
222,3,16/04/2023 01:10,Dodger Stadium,Los Angeles Dodgers,Chicago Cubs,2 - 1
223,3,16/04/2023 01:40,T-Mobile Park,Seattle Mariners,Colorado Rockies,9 - 2
